,_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/world_model_loss,train/rewards_mean,train/epsilon,train/q_pred_mean,train/q_loss,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval/time_to_first_band_entry_mean,eval/band_visits_mean,eval/success_reach_rate,eval/successes_reach,eval/video,eval_video/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval_video/successes_strict,eval_video/successes_reach
60,490,5510.851036071777,70601,1778802883.4793282,366.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
61,497,5518.001873970032,71500,1778802890.630166,,,,0.00023682562459725887,-0.009999999776482582,0.29214999079704285,-0.4436289072036743,3.4314937591552734,,,,,,,,,,,,,,,,,
62,504,5526.0087168216705,72500,1778802898.637009,,,,0.0001801415637601167,-0.009999999776482582,0.28224998712539673,-0.4481232166290283,3.4225099086761475,,,,,,,,,,,,,,,,,
63,515,5538.119252920151,74033,1778802910.747545,384.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
64,522,5546.268248558044,75033,1778802918.8965406,389.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
65,530,5555.915244102478,76233,1778802928.5435362,395.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
66,534,5560.777504444122,76833,1778802933.4057965,398.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
67,539,5566.106205224991,77500,1778802938.7344973,,,,0.0014895698986947536,-0.009999999776482582,0.23274999856948853,-0.4705865979194641,3.3829188346862793,,,,,,,,,,,,,,,,,
68,547,5575.556144237518,78633,1778802948.1844363,407.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
69,555,5585.290999889374,79833,1778802957.919292,413.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
70,559,5882.394777774811,80201,1778803255.0230699,415.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
71,568,5893.650672912598,81500,1778803266.278965,,,,0.00025094905868172646,-0.009999999776482582,0.19314999878406525,-0.48653852939605713,3.357334613800049,,,,,,,,,,,,,,,,,
72,570,5896.113789558411,81801,1778803268.7420816,423.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
73,573,5899.517708301544,82201,1778803272.1460004,425.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
74,589,5917.651626110077,84304,1778803290.2799182,437.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
75,593,5921.509261369705,84762,1778803294.1375535,440.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
76,595,5923.7686314582825,85000,1778803296.3969235,,,,0.0003462041786406189,-0.009999999776482582,0.15850000083446503,-0.4972039759159088,3.3375771045684814,,,,,,,,,,,,,,,,,
77,612,5944.704074621201,87396,1778803317.3323667,454.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
78,614,5946.5752239227295,87596,1778803319.203516,455.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
79,630,5965.806445121765,89844,1778803338.4347372,467.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
80,636,6010.788689136505,90601,1778803383.4169812,471.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
81,640,6015.529034614563,91201,1778803388.1573267,474.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
82,647,6023.615972518921,92201,1778803396.2442646,479.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
83,650,6026.9981524944305,92601,1778803399.6264446,481.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
84,664,6042.810542583466,94541,1778803415.4388347,491.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
85,680,6061.726766347885,96831,1778803434.3550584,503.0,90.0,0.10000000149011612,,,,,,,,,,,,,,,,,,,,,,
86,684,6066.586404800415,97431,1778803439.214697,506.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
87,689,6071.579756736755,98031,1778803444.2080488,509.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
88,698,6082.912576198578,99431,1778803455.5408683,516.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
89,702,6342.9384825229645,100000,1778803715.5667746,,,,,,,,,,,,,,,,,"{'size': 616558, '_type': 'video-file', 'path': 'media/videos/eval/video_4_8f8f42bc971e49f1bb4d.mp4', 'sha256': '8f8f42bc971e49f1bb4d179d29109298496c751f3b0d543b7a6e71753c6a34ff'}",,,,,,,,
90,703,6382.013107776642,100000,1778803754.6413999,,,,0.0002668985689524561,-0.009999999776482582,0.009999999776482582,-0.5503376722335815,3.253237724304199,0.0,196.39999389648438,0.0,-1.944000005722046,17.33333396911621,0.18000000715255737,0.019999999552965164,1.0,,45.5,200.0,-2.0,0.0,0.0,0.10000000149011612,0.0,0.0
91,707,6386.630866527557,100500,1778803759.2591586,,,,0.000491384300403297,-0.009999999776482582,0.009999999776482582,-0.5527148246765137,3.2458736896514893,,,,,,,,,,,,,,,,,
92,721,6404.205101013184,102500,1778803776.833393,,,,0.0005075696390122175,-0.009023437276482582,0.009999999776482582,-0.5604583621025085,3.2428553104400635,,,,,,,,,,,,,,,,,
93,725,6408.496334552765,103001,1778803781.1246266,534.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
94,729,6413.722692012787,103601,1778803786.350984,537.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
95,750,6439.203811407089,106488,1778803811.8321035,553.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
96,757,6447.992639303207,107488,1778803820.6209314,558.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
97,762,6450.850407838821,107807,1778803823.4787,562.0,21.0,0.7900000214576721,,,,,,,,,,,,,,,,,,,,,,
98,767,6456.943958759308,108500,1778803829.5722508,,,,0.0003825994790531695,-0.009999999776482582,0.009999999776482582,-0.5768138766288757,3.2178101539611816,,,,,,,,,,,,,,,,,
99,771,6461.460967063904,109007,1778803834.0892591,568.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
100,774,6465.715535402298,109500,1778803838.3438275,,,,0.0008153197122737765,-0.009999999776482582,0.009999999776482582,-0.5809120535850525,3.204249858856201,,,,,,,,,,,,,,,,,
101,775,6466.597799539566,109607,1778803839.2260916,571.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
102,788,6519.795213222504,111500,1778803892.4235053,,,,0.00025717489188537,-0.009999999776482582,0.009999999776482582,-0.5888257026672363,3.1916582584381104,,,,,,,,,,,,,,,,,
103,789,6520.431375741959,111585,1778803893.0596678,581.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
104,797,6530.294584274292,112785,1778803902.9228764,587.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
105,806,6540.07119679451,114000,1778803912.6994889,,,,0.0002224695053882897,-0.009999999776482582,0.009999999776482582,-0.592686653137207,3.1898467540740967,,,,,,,,,,,,,,,,,
106,815,6550.227758646011,115214,1778803922.8560507,600.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
