_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/info_gain_shaped_max_abs,train/world_model_loss,train/env_reward_mean,train/env_abs_ema,train/rewards_mean,train/info_gain_to_env_abs_ratio,train/epsilon,train/info_gain_clip_min,train/mi_beta_effective,train/q_pred_mean,train/info_std_ema,train/q_loss,train/info_gain_raw_mean,train/env_reward_std,train/info_gain_clip_max,train/env_reward_abs_mean,train/info_gain_raw_std,train/env_reward_max_abs,train/info_gain_shaped_abs_mean,train/info_gain_clip_mean,train/mi_raw_std,train/info_gain_shaped_mean,train/mi_raw_mean,train/info_gain_shaped_std,train/mi_target_ratio,train/info_norm_abs_ema,eval/video,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval_video/time_to_first_band_entry_mean,eval/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval/band_visits_mean,eval/success_reach_rate,eval_video/successes_strict,eval_video/successes_reach,eval/successes_reach
72,4092.839415073395,13000,1778939350.7669961,,,,0.0023463116958737373,0.00034104258520528674,-0.010000000707805157,0.010031421668827534,-0.009999999776482582,0.048711493611335754,0.8712999820709229,-2.7570948600769043,0.0008510086918249726,-0.05466136336326599,1.6487935283748811e-07,3.9106884002685547,5.3218434103996515e-09,0.0,2.6962318420410156,0.010000000707805157,1.6314726281052572e-07,0.009999999776482582,0.0004871154669672251,5.321843521421954e-10,1.2011150829494e-07,-2.598556352734205e-12,6.542541086673737e-08,0.0007939172210171819,0.04740000143647194,0.5587362051010132,,,,,,,,,,,,,,,,,
73,4093.913168668747,13125,1778939351.8407497,67.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4095.6786608695984,13325,1778939353.606242,68.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4097.277106523514,13500,1778939355.2046876,,,,0.0023549245670437813,0.00027100127772428095,-0.010000000707805157,0.01002587378025055,-0.009999999776482582,0.04912701994180679,0.866349995136261,-2.7672157287597656,0.0008510086918249726,-0.06345564126968384,1.6423976489932102e-07,3.902172803878784,5.3218434103996515e-09,0.0,2.7061290740966797,0.010000000707805157,1.639231328454116e-07,0.009999999776482582,0.0004912707372568548,3.725290298461914e-09,1.1907825125945237e-07,1.1173792793806037e-11,6.51925802230835e-08,0.0008006210555322468,0.04740000143647194,0.56836998462677,,,,,,,,,,,,,,,,,
76,4097.501887321472,13525,1778939355.4294684,69.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4099.3926653862,13725,1778939357.3202465,70.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4101.197797298431,13925,1778939359.1253784,71.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4101.857013702393,14000,1778939359.7845948,,,,0.002314251847565174,0.00038860493805259466,-0.010000000707805157,0.010044568218290806,-0.009999999776482582,0.0479857511818409,0.8614000082015991,-2.768580198287964,0.0008358983905054629,-0.06217639148235321,1.6328888818861742e-07,3.9024336338043213,2.9270139645376503e-09,0.0,2.7347981929779053,0.010000000707805157,1.668597207071798e-07,0.009999999776482582,0.00047985801938921213,5.3218434103996515e-09,1.1857436277296074e-07,1.5591338983766967e-11,6.309710443019867e-08,0.0008048859308473766,0.047200001776218414,0.56717848777771,,,,,,,,,,,,,,,,,
80,4102.913442373276,14125,1778939360.8410234,72.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4104.641852617264,14325,1778939362.5694337,73.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
