_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/info_gain_shaped_max_abs,train/world_model_loss,train/env_reward_mean,train/rewards_mean,train/info_gain_to_env_abs_ratio,train/epsilon,train/info_gain_clip_min,train/q_pred_mean,train/q_loss,train/info_gain_raw_mean,train/env_reward_std,train/info_gain_clip_max,train/env_reward_abs_mean,train/info_gain_raw_std,train/env_reward_max_abs,train/info_gain_shaped_abs_mean,train/info_gain_clip_mean,train/mi_raw_std,train/info_gain_shaped_mean,train/mi_raw_mean,train/info_gain_shaped_std,eval/video,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval_video/time_to_first_band_entry_mean,eval/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval/band_visits_mean,eval/success_reach_rate,eval_video/successes_strict,eval_video/successes_reach,eval/successes_reach
94,4093.9402363300323,16048,1778874614.3368354,82.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4095.5555596351624,16248,1778874615.9521587,83.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4097.260103464127,16448,1778874617.6567025,84.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4097.69371843338,16500,1778874618.0903175,,,,4.8402167607264346e-08,0.0004841765621677041,-0.010000000707805157,-0.009999999776482582,9.621181789043476e-07,0.836650013923645,-4.840216547563614e-07,-0.06422443687915802,3.8859565258026123,7.1844885596306085e-09,0.0,4.696526616498886e-07,0.010000000707805157,1.5853891000006115e-07,0.009999999776482582,9.621192731401607e-09,-5.075305482313112e-16,1.1175773551030943e-07,-3.172065926445695e-17,5.9138983488082886e-08,1.5853890644734747e-08,,,,,,,,,,,,,,,,,
98,4098.992511749268,16648,1778874619.3891108,85.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4100.713191509247,16848,1778874621.1097906,86.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4101.977134227753,17000,1778874622.3737333,,,,4.8082853254527436e-08,0.0005979381967335939,-0.010000000707805157,-0.009999999776482582,1.043187012328417e-06,0.8317000269889832,-4.808285325452744e-07,-0.06473243236541748,3.8857080936431885,3.9913827798443435e-09,0.0,4.7284578386097564e-07,0.010000000707805157,1.7134000529495097e-07,0.009999999776482582,1.0431882024874994e-08,1.0150610964626224e-15,1.2134029248045408e-07,1.903239622041866e-16,6.612390279769897e-08,1.7134000884766465e-08,,,,,,,,,,,,,,,,,
101,4102.434144496918,17048,1778874622.8307436,87.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,4104.031697034836,17248,1778874624.428296,88.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4105.751937627792,17448,1778874626.1485367,89.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
